job_id,title,company,location,experience_min,experience_max,salary,description,skills_extracted,job_url,company_rating,posted_date,scraped_at,search_keyword,page_number,job_category,seniority_level,remote_friendly
220725503540,"Manager, Data Scientist and Machine Learning Engineer",PHH Mortgage,Bengaluru,5.0,9.0,,"Masters or PhD in engineering / math / statistics / economics, or a related field . Req...","['analytics', 'monitoring', 'automation', 'sql', 'financial services', 'product engineering', 'machine learning', 'operations']",https://www.naukri.com/job-listings-manager-data-scientist-and-machine-learning-engineer-phh-mortgage-corporation-bengaluru-5-to-9-years-220725503540,,3+ weeks ago,2025-09-21T19:36:24.175400,machine-learning-engineer,3,data_science,senior,False
100925918718,Machine Learning Engineer - Contract,Suzva Software Technologies,Bengaluru,6.0,10.0,,Experience with constraint optimization and deep learning models. Proven experience in ...,"['ml frameworks', 'pyspark', 'regression', 'databricks ml services', 'xgboost', 'svm', 'logistic regression', 'machine learning']",https://www.naukri.com/job-listings-machine-learning-engineer-contract-suzva-software-technology-mumbai-chennai-bengaluru-6-to-10-years-100925918718,,1 week ago,2025-09-21T19:36:44.761643,machine-learning-engineer,3,data_science,senior,False
190925035369,Machine Learning Engineer (Indore),Trusted Partner in Enterprise Automation & AI Innovation,Indore,8.0,13.0,,About the RoleJob Title: Machine Learning EngineerOpenings: 5Experience: 8+ YearsLocati...,"['pyspark', 'machine', 'scikit-learn', 'machine learning', 'python', 'pandas']",https://www.naukri.com/job-listings-machine-learning-engineer-indore-mississippi-consultants-pune-indore-8-to-13-years-190925035369,,1 day ago,2025-09-21T19:36:55.114594,machine-learning-engineer,3,data_science,senior,False
50925017477,Machine Learning Engineer with Azure Databricks || Hybrid || Immediate,Enable Data Incorporated,Bengaluru,5.0,10.0,,Experience Required: 5 to 10 Years MandateMode of work: Hybrid -2-3 days work from Off...,"['data science', 'azure databricks', 'numpy', 'machine', 'azure machine learning', 'machine learning', 'python', 'pandas']",https://www.naukri.com/job-listings-machine-learning-engineer-with-azure-databricks-hybrid-immediate-enable-data-incorporated-bengaluru-5-to-10-years-050925017477,3.3,1 week ago,2025-09-21T19:37:05.368748,machine-learning-engineer,3,data_science,senior,False
190925035160,Data Analyst (English Required),Peroptyx,Remote,0.0,5.0,,"For thousands of years, maps have provided humans with the knowledge they need to make ...","['analysis', 'analytics', 'mapping', 'data mapping', 'data analysis', 'data analytics', 'data', 'english']",https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-mumbai-all-areas-0-to-5-years-190925035160,3.3,2 days ago,2025-09-21T19:37:19.252139,data-analyst,1,data_science,junior,False
100925017821,Data Analyst,Egon Zender,Bengaluru,0.0,5.0,,Location: Gurgaon Experience Required: 0 to 8 Years (Freshers with strong analytical sk...,"['data management', 'data cleansing', 'data quality', 'power bi', 'data visualization', 'data analysis', 'data analytics', 'tableau']",https://www.naukri.com/job-listings-data-analyst-the-career-next-noida-hyderabad-gurugram-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-100925017821,,1 week ago,2025-09-21T19:37:20.016793,data-analyst,1,data_science,junior,False
170925022602,Data Analyst,Cointab Software,Mumbai,0.0,1.0,,The ideal candidate should have strong logic-building capabilities and good communicati...,"['communication skills', 'data manipulation', 'data extraction', 'sql', 'data visualization', 'data analysis', 'data analytics', 'python']",https://www.naukri.com/job-listings-data-analyst-cointab-software-mumbai-all-areas-0-to-1-years-170925022602,4.1,4 days ago,2025-09-21T19:37:30.353346,data-analyst,1,data_science,junior,False
170925014358,Data Analyst,Tata Consultancy Services,Chennai,3.0,8.0,,"Qualification:- Minimum 15 years of regular, full-time education (10 + 2 + 3) is mandat...","['advanced excel', 'sales report', 'market analysis', 'reporting', 'power bi', 'data analysis', 'data analytics', 'data']",https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-chennai-3-to-8-years-170925014358,3.5,4 days ago,2025-09-21T19:37:30.634555,data-analyst,1,data_science,mid,False
30924005344,Data Analyst,Titan Company,Hosur,0.0,5.0,,Automation of Key dashboards arrived from the Analytics both by self & in co-ordination...,"['dashboards', 'data reporting', 'data visualization', 'data analysis', 'data analytics', 'data', 'development', 'dashboard development']",https://www.naukri.com/job-listings-data-analyst-titan-company-hosur-0-to-5-years-030924005344,4.2,1 week ago,2025-09-21T19:37:30.972306,data-analyst,1,data_science,junior,False
300825010580,Data Analyst,ti Steps,Bengaluru,0.0,2.0,,"Requirements: . - Bachelors degree in Data Analytics, Statistics, or related field. - P...","['sql', 'statistics', 'power bi', 'data analysis', 'data analytics', 'excel', 'python', 'tableau']",https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-300825010580,4.3,3 weeks ago,2025-09-21T19:37:31.255396,data-analyst,1,data_science,junior,False
100925923101,Data Analyst,Leading Client,Bengaluru,0.0,2.0,,"Data Analytics Engineer Fresher/Experienced The role involves developing data models, c...","['data science', 'analysis', 'analytics', 'data visualization', 'data analysis', 'data analytics', 'data', 'data visualizations']",https://www.naukri.com/job-listings-data-analyst-creative-hr-solutions-bengaluru-0-to-2-years-100925923101,,1 week ago,2025-09-21T19:37:31.549110,data-analyst,1,data_science,junior,False
